Metadata for Doing Business indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Topic,Indicator,Long definition,Index,usb_index,pillar,sub_pillar,sub_sub_pillar,indicator,sub_indicator,unit_2,,,,,,,,,,,,,,,
Registering property,Transparency of information index (0-6) (DB17-20 methodology),The transparency of information index evaluates whether the land administration system makes land-related information publicly available. It has ten components: (i) whether information on land ownership is made publicly available; (ii) whether the list of documents required for completing the registra­tion of property transactions is made publicly available; (iii) whether the fee schedule for completing the registration of prop­erty transactions is made publicly available; (iv) whether the agency in charge of immovable property registration commits to a specific time frame for delivering a legally binding document that proves property ownership; (v) whether there is a specific and independent mechanism for filing complaints about a problem that occurred at the agency in charge of immovable property registration; (vi) whether there are publicly available official statistics tracking the number of transactions at the immovable property registration agency; (vii) whether maps of land plots are made publicly available; (viii) whether the fee schedule for accessing maps is made publicly available; and (ix) whether the mapping agency commits to a specific time frame for delivering an updated map; and (x) whether there is a specific and independent mechanism for filing complaints about a problem that occurred at the mapping agency. The index is computed based on the methodology in the DB17-20 studies.,Ease of Doing Business ,,Registering property,,,Transparency of information index (0-6),,Score,,,,,,,,,,,,,,,
Registering property,Geographic coverage index (0-8) (DB17-20 methodology),The geographic coverage index assesses the extent to which the land registry and cadastre provide complete geographic coverage of privately held land parcels. It has four components: (i) how complete the coverage of the land registry is at the level of the largest business city; (ii) how complete the coverage of the land registry is at the level of the economy; (iii) how complete the coverage of the mapping agency is at the level of the largest business city; and (iv) how complete the coverage of the mapping agency is at the level of the economy. The index is computed based on the methodology in the DB17-20 studies.,Ease of Doing Business ,,Registering property,,,Geographic coverage index (0-8) ,,Score,,,,,,,,,,,,,,,
Registering property,Land dispute resolution index (0-8) (DB17-20 methodology),"The land dispute resolution index measures the accessibility of conflict resolution mechanisms and the extent of liability for entities or agents recording land transactions. It has eight components: (i) whether the law requires that all property sale transactions be regis­tered at the immovable property registry to make them opposable to third parties; (ii) whether the formal system of immovable property registration is subject to a guarantee; (iii) whether there is a specific, out-of-court compensation mechanism to cover for losses incurred by parties who engaged in good faith in a prop­erty transaction based on erroneous information certified by the immov­able property registry; (iv) whether the legal system requires verification of the legal validity of the documents (such as the sales, transfer or conveyance deed) necessary for a property transaction; (v) whether the legal system requires verification of the identity of the parties to a property transaction; (vi) whether there is a national database to verify the accuracy of identity documents; (vii) how much time it takes to obtain a decision from a court of first instance (without an appeal) in a standard land dispute between two local busi­nesses over tenure rights worth 50 times income per capita and located in the largest business city; and (viii) whether there are publicly avail­able statistics on the number of land disputes in the first instance. The index is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Registering property,,,Land dispute resolution index (0-8) ,,Score,,,,,,,,,,,,,,,
Registering property,Equal access to property rights index (-2-0) (DB17-20 methodology),The equal access to property rights index evaluates whether married or unmarried women have equal access to property rights. It has two components: (i) whether unmarried men and unmar­ried women have equal ownership rights to property; and (ii) whether married men and married women have equal ownership rights to property. The index is computed based on the methodology in the DB17-20 studies.,Ease of Doing Business ,,Registering property,,,Equal access to property rights index (-2-0) ,,Score,,,,,,,,,,,,,,,
Getting credit,Rank-Getting credit,The ranking of economies on the ease of getting credit is determined by sorting their scores for getting credit.,Ease of Doing Business ,,Getting credit,,,,,Rank,,,,,,,,,,,,,,,
Getting credit,Score-Getting credit (DB15-20 methodology),"The score for getting credit benchmarks economies with respect to the regulatory best practice on the indicator set. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies.",Ease of Doing Business ,,Getting credit (DB15-20 methodology),,,,,Score,,,,,,,,,,,,,,,
Getting credit,Score-Getting credit (DB05-14 methodology),"The score for getting credit benchmarks economies with respect to the regulatory best practice on the indicator set. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB05-14 studies.",Ease of Doing Business ,,Getting credit (DB05-14 methodology),,,,,Score,,,,,,,,,,,,,,,
Getting credit,Strength of legal rights index (0-10) (DB05-14 methodology),The strength of legal rights index measures whether certain features that facilitate lending exist within the appli­cable collateral and bankruptcy laws. The index ranges from 0 to 10 based on the methodology in the DB05-14 studies.,Ease of Doing Business ,,Getting credit,,,Strength of legal rights index (0-10) ,,Score,,,,,,,,,,,,,,,
Getting credit,Score-Strength of legal rights index (0-10) (DB05-14 methodology),"The score for the strength of legal rights benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB05-14 studies.",Ease of Doing Business ,,Getting credit,,,Score-Strength of legal rights index (0-10),,Score,,,,,,,,,,,,,,,
Getting credit,Depth of credit information index (0-6) (DB05-14 methodology),"The depth of credit information index measures the coverage, scope and accessibility of credit information available through credit reporting service providers such as credit bureaus or credit registries. The index ranges from 0 to 8 based on the methodology in the DB05-14 studies.",Ease of Doing Business ,,Getting credit,,,Depth of credit information index (0-6) ,,Score,,,,,,,,,,,,,,,
Getting credit,Score-Depth of credit information index (0-6) (DB05-14 methodology),"The score for the depth of credit information benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB05-14 studies.",Ease of Doing Business ,,Getting credit,,,Score-Depth of credit information index (0-6) ,,Score,,,,,,,,,,,,,,,
Getting credit,Getting Credit total score (DB05-14 methodology),"The total score for getting credit is the sum of the strength of legal rights index and the depth of credit information index, based on the methodology in the DB05-14 studies.",Ease of Doing Business ,,Getting credit,,,Getting Credit total score ,,Score,,,,,,,,,,,,,,,
Getting credit,Strength of legal rights index (0-12) (DB15-20 methodology) ,The strength of legal rights index measures whether certain features that facilitate lending exist within the appli­cable collateral and bankruptcy laws. The index ranges from 0 to 12 based on the methodology in the DB15-20 studies.,Ease of Doing Business ,,Getting credit,,,Strength of legal rights index (0-12) ,,Score,,,,,,,,,,,,,,,
Getting credit,Score-Strength of legal rights index (0-12) (DB15-20 methodology) ,"The score for the strength of legal rights benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies.",Ease of Doing Business ,,Getting credit,,,Score-Strength of legal rights index (0-12),,Score,,,,,,,,,,,,,,,
Getting credit,Depth of credit information index (0-8) (DB15-20 methodology) ,"The depth of credit information index measures the coverage, scope and accessibility of credit information available through credit reporting service providers such as credit bureaus or credit registries. The index ranges from 0 to 8 based on the methodology in the DB15-20 studies.",Ease of Doing Business ,,Getting credit,,,Depth of credit information index (0-8) ,,Score,,,,,,,,,,,,,,,
Getting credit,Score-Depth of credit information index (0-8) (DB15-20 methodology) ,"The score for the depth of credit information benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies.",Ease of Doing Business ,,Getting credit,,,Score-Depth of credit information index (0-8) ,,Score,,,,,,,,,,,,,,,
Getting credit,Getting Credit total score (DB15-20 methodology) ,"The total score for getting credit is the sum of the strength of legal rights index and the depth of credit information index, based on the methodology in the DB15-20 studies.",Ease of Doing Business ,,Getting credit,,,Getting Credit total score (DB15-20 methodology) ,,Score,,,,,,,,,,,,,,,
Getting credit,Credit registry coverage (% of adults),"The credit registry coverage reports the number of individuals and firms listed in a credit registry’s database as of January 1 with information on their borrowing history from the past five years, and the number of individuals and firms that have had no borrowing history in the past five years but for which a lender requested a credit report from the registry in the previous calendar year. The number is expressed as a percentage of the adult population.",Ease of Doing Business ,,Getting credit,,,Credit registry coverage (% of adults),,Score,,,,,,,,,,,,,,,
Getting credit,Credit bureau coverage (% of adults),"The credit bureau coverage reports the number of individuals and firms listed in a credit bureau’s database as of January 1 with information on their borrowing history from the past five years, and the number of individuals and firms that have had no borrowing history in the past five years but for which a lender requested a credit report from the bureau in the previous calendar year. The number is expressed as a percentage of the adult population.",Ease of Doing Business ,,Getting credit,,,Credit bureau coverage (% of adults),,Score,,,,,,,,,,,,,,,
Protecting minority investors,Rank-Protecting minority investors,The ranking of economies on the strength of minority shareholder protections is determined by sorting their scores for protecting minority investors. ,Ease of Doing Business ,,Protecting minority investors,,,,,Rank,,,,,,,,,,,,,,,
Protecting minority investors,Score-Protecting minority investors (DB15-20 methodology),"The score for protecting minority investors benchmarks economies with respect to the regulatory best practice on the indicator set. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies.",Ease of Doing Business ,,Protecting minority investors (DB15-20 methodology),,,,,Score,,,,,,,,,,,,,,,
Protecting minority investors,Score-Protecting minority investors (DB06-14 methodology),"The score for protecting minority investors benchmarks economies with respect to the regulatory best practice on the indicator set. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB06-14 studies.",Ease of Doing Business ,,Protecting minority investors (DB06-14 methodology),,,,,Score,,,,,,,,,,,,,,,
Protecting minority investors,Extent of disclosure index (0-10),"The extent of disclosure index measures the approval and disclosure requirements of related-party transactions. It has five components: (i) whether it is the managing director alone, the board of directors, or the general meeting of shareholders the corporate body who can provide legally sufficient approval for the transaction (points are assigned depending on whether interested directors are permitted to vote or not); (ii) whether an external body (an independent auditor, for example) must review the transaction before it takes place; (iii) whether disclosure by Mr. James to the board of directors or the supervisory board is required; (iv) whether immediate disclosure of the transaction to the public, the regulator or the shareholders is required; and (v) whether disclosure in periodic filings (for example, annual reports) is required.",Ease of Doing Business ,,Protecting minority investors,,,Extent of disclosure index (0-10),,Score,,,,,,,,,,,,,,,
Protecting minority investors,Score-Extent of disclosure index (0-10),"The score for extent of disclosure index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Protecting minority investors,,,Extent of disclosure index (0-10),,Score,,,,,,,,,,,,,,,
Protecting minority investors,Extent of director liability index (0-10),"The extent of director liability index measures when board members can be held liable for harm caused by related-party transactions and what sanctions are available. It has seven components: (i) whether shareholders can sue directly or derivatively for the damage the transaction causes to the company; (ii) whether a shareholder plaintiff can hold Mr. James liable for the damage the Buyer-Seller transaction causes to the company; (iii) whether a shareholder plaintiff can hold other executives and directors (the CEO, members of the board of directors or members of the supervisory board) liable for the damage the transaction causes to the company; (iv) whether Mr. James pays damages for the harm caused to the company upon a successful claim by the shareholder plaintiff; (v) whether Mr. James repays profits made from the transaction upon a successful claim by the shareholder plaintiff; (vi) whether Mr. James is disqualified upon a successful claim by the shareholder plaintiff; and (vii) whether a court can void the trans­action upon a successful claim by a shareholder plaintiff.",Ease of Doing Business ,,Protecting minority investors,,,Extent of director liability index (0-10),,Score,,,,,,,,,,,,,,,
Protecting minority investors,Score-Extent of director liability index (0-10),"The score for extent of director liability index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Protecting minority investors,,,Score-Extent of director liability index (0-10),,Score,,,,,,,,,,,,,,,
Protecting minority investors,Ease of shareholder suits index (0-10) (DB06-14 methodology),The ease of shareholder suits index measures how likely plaintiffs are to access internal corporate evidence. It has six components: (i) whether shareholders owning 10% of the company’s share capital have the right to inspect the Buyer-Seller transaction documents before filing a suit; (ii) whether shareholders owning 10% of the company’s share capital can request that a government inspector investigate the Buyer-Seller transaction without filing a suit; (iii) what range of documents is available to the shareholder plaintiff from the defendant and witnesses during trial; (iv) whether the plaintiff can obtain cate­gories of relevant documents from the defendant without identifying each document specifically; (v) whether the plaintiff can directly examine the defendant and witnesses during trial (0-2); and (vi) whether the standard of proof for civil suits is lower than that for criminal cases. The index is computed based on the methodology in the DB06-14 studies.,Ease of Doing Business ,,Protecting minority investors,,,Ease of shareholder suits index (0-10) ,,Score,,,,,,,,,,,,,,,
Protecting minority investors,Score-Ease of shareholder suits index (0-10) (DB06-14 methodology),"The score for ease of shareholder suits index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB06-14 studies.",Ease of Doing Business ,,Protecting minority investors,,,Score-Ease of shareholder suits index (0-10) ,,Score,,,,,,,,,,,,,,,
Protecting minority investors,Strength of investor protection index (0-30) (DB06-14 methodology),"The strength of investor protection index is the sum of the extent of disclosure index, extent of director liability index and ease of shareholder suits index. The index is computed based on the methodology in the DB06-14 studies.",Ease of Doing Business ,,Protecting minority investors,,,Strength of investor protection index (0-30) ,,Score,,,,,,,,,,,,,,,
Protecting minority investors,Ease of shareholder suits index (0-10) (DB15-20 methodology) ,"The ease of shareholder suits index measures how likely plaintiffs are to access internal corporate evidence and recover legal expenses. It has six components: (i) whether shareholders owning 10% of the company’s share capital have the right to inspect the Buyer-Seller transaction documents before filing a suit. Alternatively, whether they can request that a government inspector investigate the Buyer-Seller transaction without filing a suit; (ii) what range of documents is available to the shareholder plaintiff from the defendant and witnesses during trial; (iii) whether the plaintiff can obtain cate­gories of relevant documents from the defendant without identifying each document specifically; (iv) whether the plaintiff can directly examine the defendant and witnesses during trial; (v) whether the standard of proof for civil suits is lower than that for criminal cases; and (vi) whether shareholder plaintiffs can recover their legal expenses from the company. The index is computed based on the methodology in the DB15-20 studies.",Ease of Doing Business ,,Protecting minority investors,,,Ease of shareholder suits index (0-10) ,,Score,,,,,,,,,,,,,,,
Protecting minority investors,Score-Ease of shareholder suits index (0-10) (DB15-20 methodology),"The score for ease of shareholder suits index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies.",Ease of Doing Business ,,Protecting minority investors,,,Score-Ease of shareholder suits index (0-10),,Score,,,,,,,,,,,,,,,
Protecting minority investors,Extent of shareholder rights index (0-6) (DB15-20 methodology) ,The extent of shareholder rights index measures the role of shareholders in key corporate decisions. It has six components: (i) whether the sale of 51% of Buyer’s assets requires shareholder approval; (ii) whether shareholders representing 10% of Buyer’s share capital have the right to call for a meeting of shareholders; (iii) whether Buyer must obtain its share­holders’ approval every time it issues new shares; (iv) whether shareholders automatically receive preemption rights when Buyer issues new shares; (v) whether shareholders elect and dismiss the external auditor; (vi) whether changes to the rights of a class of shares are only possible if the holders of the affected shares approve. The index is computed based on the methodology in the DB15-20 studies.,Ease of Doing Business ,,Protecting minority investors,,,Extent of shareholder rights index (0-6) ,,Score,,,,,,,,,,,,,,,
Protecting minority investors,Score-Extent of shareholder rights index (0-6) (DB15-20 methodology),"The score for extent of shareholder rights index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies.",Ease of Doing Business ,,Protecting minority investors,,,Score-Extent of shareholder rights index (0-6) ,,Score,,,,,,,,,,,,,,,
Protecting minority investors,Extent of ownership and control index (0-7) (DB15-20 methodology) ,The extent of ownership and control index measures the rules governing the structure and change in control of companies. This index has seven components: (i) whether the same individual cannot be appointed CEO and chairperson of the board of directors; (ii) whether the board of directors must include independent nonexecutive board members; (iii) whether shareholder can remove members of the board of directors without cause before the end of their term; (iv) whether the board of directors must have an audit committee; (v) whether a potential acquirer must make a tender offer to all shareholders upon acquiring 50% of Buyer; (vi) whether Buyer must pay declared dividends within a maximum period set by law; (vii) whether a subsidiary cannot acquire shares issued by its parent company. The index is computed based on the methodology in the DB15-20 studies.,Ease of Doing Business ,,Protecting minority investors,,,Extent of ownership and control index (0-7) ,,Score,,,,,,,,,,,,,,,
Protecting minority investors,Score-Extent of ownership and control index (0-7) (DB15-20 methodology),"The score for extent of ownership and control index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies.",Ease of Doing Business ,,Protecting minority investors,,,Score-Extent of ownership and control index (0-7) ,,Score,,,,,,,,,,,,,,,
Protecting minority investors,Extent of corporate transparency index (0-7) (DB15-20 methodology) ,"The extent of corporate transparency index measures the level of information that companies must share regarding their board members, senior executives, annual meetings and audits. This index has seven components: (i) whether Buyer must disclose direct and indirect beneficial ownership stakes representing 5%; (ii) whether Buyer must disclose information about board members’ primary employment and director­ships in other companies; (iii) whether Buyer must disclose the compensation of individual managers; (iv) whether a detailed notice of general meeting must be sent 21 calendar days before the meeting; (v) whether shareholders representing 5% of Buyer’s share capital can put items on the general meeting agenda; (vi) whether Buyer’s annual financial statements must be audited by an external auditor; (vii) whether Buyer must disclose its audit reports to the public. The index is computed based on the methodology in the DB15-20 studies.",Ease of Doing Business ,,Protecting minority investors,,,Extent of corporate transparency index (0-7),,Score,,,,,,,,,,,,,,,
Protecting minority investors,Score-Extent of corporate transparency index (0-7) (DB15-20 methodology),"The score for extent of corporate transparency index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies.",Ease of Doing Business ,,Protecting minority investors,,,Score-Extent of corporate transparency index (0-7),,Score,,,,,,,,,,,,,,,
Protecting minority investors,Strength of minority investor protection index (0-50) (DB15-20 methodology) ,"The strength of minority investor protection index is the sum of the extent of disclosure index, extent of director liability index, ease of shareholder suits index, extent of shareholder rights index, extent of ownership and control index and extent of corporate transparency index. The index is computed based on the methodology in the DB15-20 studies.",Ease of Doing Business ,,Protecting minority investors,,,Strength of minority investor protection index (0-50) ,,Score,,,,,,,,,,,,,,,
Paying taxes,Rank-Paying taxes,The ranking of economies on the ease of paying taxes is determined by sorting their scores for paying taxes. ,Ease of Doing Business ,,Paying taxes,,,,,Rank,,,,,,,,,,,,,,,
Paying taxes,Score-Paying taxes (DB17-20 methodology),"The score for paying taxes is the simple average of the scores for each of the component indicators, the payments, time and total tax and contribution rate for a company to comply with tax laws in an economy, as well as the postfiling procedures to request and process a VAT refund claim and to comply with and complete a corporate income tax correction. The score is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Paying taxes (DB17-20 methodology),,,,,Score,,,,,,,,,,,,,,,
Paying taxes,Score-Paying taxes (DB06-16 methodology),"The score for paying taxes is the simple average of the scores for each of the component indicators, the payments, time and total tax and contribution rate for a company to comply with tax laws in an economy. The score is computed based on the methodology in the DB06-16 studies.",Ease of Doing Business ,,Paying taxes (DB06-16 methodology),,,,,Score,,,,,,,,,,,,,,,
Paying taxes,Payments (number per year),"The tax payments capture the total number of taxes and contributions paid, the method of payment, the frequency of payment, and the frequency of ﬁling. It includes taxes withheld by the company, such as sales tax, VAT and employee-borne labor taxes.",Ease of Doing Business ,,Paying taxes,,,Payments (number per year),,Score,,,,,,,,,,,,,,,
Paying taxes,Score-Payments (number per year),"The score for tax payments benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Paying taxes,,,Score-Payments (number per year),,Score,,,,,,,,,,,,,,,
Paying taxes,Time (hours per year),"The time to comply with tax laws measures the time taken to prepare, ﬁle and pay three major types of taxes and contributions: the corporate income tax, value added or sales tax and labor taxes, including payroll taxes and social contributions.",Ease of Doing Business ,,Paying taxes,,,Time (hours per year),,Score,,,,,,,,,,,,,,,
Paying taxes,Score-Time (hours per year),"The score for time to comply with tax laws benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Paying taxes,,,Score-Time (hours per year),,Score,,,,,,,,,,,,,,,
Paying taxes,Total tax and contribution rate (% of profit),"The total tax and contribution rate measures the amount of taxes and mandatory contributions borne by the business in the second year of operation, expressed as a share of commercial proﬁt. The total amount of taxes and contributions borne is the sum of all the different taxes and contributions payable after accounting for allowable deductions and exemptions. The taxes withheld (such as personal income tax) or collected by the company and remitted to the tax authorities (such as VAT, sales tax or goods and service tax) but not borne by the company are excluded.",Ease of Doing Business ,,Paying taxes,,,Total tax and contribution rate (% of profit),,Score,,,,,,,,,,,,,,,
Paying taxes,Score-Total tax and contribution rate (% of profit),"The score for total tax and contribution rate benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Paying taxes,,,Score-Total tax and contribution rate (% of profit),,Score,,,,,,,,,,,,,,,
Paying taxes,Profit tax (% of profit),"The profit tax measures the amount of income taxes borne by the business in the second year of operation, expressed as a share of commercial proﬁt.",Ease of Doing Business ,,Paying taxes,,,Profit tax (% of profit),,Score,,,,,,,,,,,,,,,
Paying taxes,Labor tax and contributions (% of profit),"The labor tax and contributions measures all government mandated labor contributions that are borne by the business in the second year of operation, expressed as a share of commercial proﬁt.",Ease of Doing Business ,,Paying taxes,,,Labor tax and contributions (% of profit),,Score,,,,,,,,,,,,,,,
Paying taxes,Other taxes (% of profit),"The other taxes measures all other taxes and fees that are borne by the business in the second year of operation, expressed as a share of commercial proﬁt. This includes property taxes, turnover taxes and other taxes (such as municipal fees and vehicle taxes).",Ease of Doing Business ,,Paying taxes,,,Other taxes (% of profit),,Score,,,,,,,,,,,,,,,
Paying taxes,Time to comply with VAT refund (hours) (DB17-20 methodology),"The time to comply with VAT refund measures the time spent preparing and submitting the refund claim and the time spent preparing information for the tax officers, if, in 50% or more of cases, a company that requests a VAT cash refund arising from a capital purchase would be selected for an additional review. The component indicator is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Paying taxes,,,Time to comply with VAT refund (hours),,Score,,,,,,,,,,,,,,,
Paying taxes,Score-Time to comply with VAT refund (hours) (DB17-20 methodology),"The score for time to comply with VAT refund benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Paying taxes,,,Score-Time to comply with VAT refund (hours) ,,Score,,,,,,,,,,,,,,,
Paying taxes,Time to obtain VAT refund (weeks) (DB17-20 methodology),"The time to obtain VAT refund measures the time from purchase of the machine to the date of submission of the refund claim (this is equal to half the filing period), the length of any mandatory period that the excess output VAT must be carried forward before a claim can be made, and the time from the submission of the VAT refund claim to the date the refund is received. If a company that requests a VAT cash refund arising from a capital purchase would be selected for additional review in 50% or more of cases, the duration of the review is included in the time to obtain a VAT refund. The component indicator is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Paying taxes,,,Time to obtain VAT refund (weeks) ,,Score,,,,,,,,,,,,,,,
Paying taxes,Score-Time to obtain VAT refund (weeks) (DB17-20 methodology),"The score for time to obtain VAT refund benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Paying taxes,,,Score-Time to obtain VAT refund (weeks) ,,Score,,,,,,,,,,,,,,,
Paying taxes,Time to comply with a corporate income tax correction (hours) (DB17-20 methodology),"The time to comply with a corporate income tax correction measures the time spent preparing and submitting the correction, and the time spent preparing information for the tax officers, if, in 25% or more of cases, a company that voluntarily reports an error in its CIT return and an underpayment of the tax due would be selected for additional review. The component indicator is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Paying taxes,,,Time to comply with a corporate income tax correction (hours) ,,Score,,,,,,,,,,,,,,,
Paying taxes,Score-Time to comply with a corporate income tax correction (hours) (DB17-20 methodology),"The score for time to comply with a corporate income tax correction benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Paying taxes,,,Score-Time to comply with a corporate income tax correction (hours) ,,Score,,,,,,,,,,,,,,,
Paying taxes,Time to complete a corporate income tax correction (weeks) (DB17-20 methodology),"Time to complete a corporate income tax correction (weeks) (DB17-20 methodology) measures the time to complete a review by the tax authority including a formal tax audit if in 25% or more of cases, a company that voluntarily reports an error in its corporate income tax return and an underpayment of the tax due would be selected for additional review. The component indicator is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Paying taxes,,,Time to complete a corporate income tax correction (weeks) ,,Score,,,,,,,,,,,,,,,
Paying taxes,Score-Time to complete a corporate income tax correction (weeks) (DB17-20 methodology),"The score for time to complete with a corporate income tax correction benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Paying taxes,,,Score-Time to complete a corporate income tax correction (weeks) ,,Score,,,,,,,,,,,,,,,
Paying taxes,Score-Postfiling index (0-100) (DB17-20 methodology),"The score for postfiling index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Paying taxes,,,Score-Postfiling index (0-100) ,,Score,,,,,,,,,,,,,,,
Trading across borders,Rank-Trading across borders,The ranking of economies on the ease of trading across borders is determined by sorting their scores for trading across borders. ,Ease of Doing Business ,,Trading across borders,,,,,Rank,,,,,,,,,,,,,,,
Trading across borders,Score-Trading across borders (DB16-20 methodology),"Doing Business measures the time and cost associated with three sets of procedures of exporting and importing goods —documentary compliance, border compliance and domestic transport—within the overall process of exporting or importing a shipment of goods. The score for trading across borders is the simple average of the scores for the time and cost for documentary compliance and border compliance to export and import. It is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders (DB16-20 methodology),,,,,Score,,,,,,,,,,,,,,,
Trading across borders,Score-Trading across borders (DB06-15 methodology),"Doing Business measures the time and cost associated with exporting and importing a standardized cargo of goods by sea transport. The time and cost necessary to complete 4 predefined stages (document preparation; customs clearance and inspections; inland transport and handling; and port and terminal handling) for exporting and importing the goods are recorded. All documents needed by the trader to export or import the goods across the border are also recorded. The process of exporting goods ranges from packing the goods into the container at the warehouse to their departure from the port of exit. The process of importing goods ranges from the vessel’s arrival at the port of entry to the cargo’s delivery at the warehouse. For landlocked economies, since the seaport is located in the transit economy, the time, cost and documents associated with the processes at the inland border are also included. The score for trading across borders is a simple average of the cost to export and import, time to export and import, and the number documents to export and import. It is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Trading across borders (DB06-15 methodology),,,,,Score,,,,,,,,,,,,,,,
Trading across borders,Time to export: Documentary compliance (hours) (DB16-20 methodology),"The time for documentary compliance to export records the time associated with compliance with the export documentary requirements of all government agencies of the origin economy, the destination economy and any transit economies. It is calculated in hours.  It includes the time for obtaining documents; preparing documents; processing documents; presenting documents; and submitting documents. All electronic or paper submissions of information requested by any government agency in connection with the shipment are considered to be documents obtained, prepared and submitted during the export process. All documents prepared by the freight forwarder or customs broker for the product and partner pair assumed in the case study are included regardless of whether they are required by law or in practice. The component indicator is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Trading across borders,,,Time to export: Documentary compliance (hours) (DB16-20 methodology),,Score,,,,,,,,,,,,,,,
